,PARAM INFO,,,,,,,,,,,,,,,,,,ORIG PROB,,,,,,,,,,,,,,,,,,,,,,,GIC POINT INFO ROUND 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIC CUT HEUR INFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROOT BOUND,,,,,,,,,,,,,ROUND INFO,,,,,,,,,,,,,,,,,,TIME INFO,,,,,,,,,,,,,,,,,,,,,DONE!
k16x240,1,1,0,-1,480,14,1000,0,0,0,0,1000,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,256,480,16,240,0,0,0,240,240,256,480,444,228,0,14,960,0.008,0.001,0.001,2769.838,,,10674,0,-1,480,395.071,1.429,0,480,14,11373,812.357,31,2174,57,4.071,2,9,0,0,,,14998,1071.286,397,4042,0,0,0,0,0,0,,,0.003,0,0.015,0.167,0,0.888,39,14,14,6,0,0,0,0,0,0,0,0,25,12,0,0,7182,0,0,7157,0,0,0,0,0,0,0,0,0,0,0,0,2769.838,14,3367.009157,25,3003.885812,3378.93385,0,11.924693,6,12,7.555148,2.961071,7.706014,29,2,3821.171378,3378.93385,3378.93385,3378.93385,0.002,1,0.792,0,1,0.679,0.002,1,0.877,0,1,0.626,0.02,0.01,0,14,24.96,0,110.52,0,71.42,0.05,0,0,0,0.04,0,0,71.36,0,110.66,Wed Oct 17 21:31:04 2018,k16x240,DONE!
lseu,1,1,2,0,89,12,1000,0,0,0,1,0,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,28,89,0,28,0,0,0,89,0,28,89,75,2,11,12,309,0.124,0,0.000147059,834.6823529,,,1120,2,0,89,52.167,7.25,0,89,12,16824,1402,47,3765,3962,330.167,14,1092,0,0,,,2795,232.917,84,483,0,0,0,0,0,0,,,0.044,0,3.537,0.114,0,2.647,99,12,12,6,87,9,0,0,0,0,0,0,0,0,0,0,3396,439,0,2870,0,0,0,0,0,0,0,0,0,0,0,0,834.6823529,12,847.7260533,87,847.9567036,847.9567036,0.23065,0.23065,6,9,4.571642,4.652481,4.652481,23,2,883.481135,847.726053,847.726053,847.956704,0.017,1,0.72,0.382,1,0.768,0.011,1,0.536,0,1,0.579,0,0.01,0,4.03,17.9,0,35.12,0,13.18,0.13,0,0,13.05,0.08,0,0,0,0,35.29,Thu Oct 18 23:11:31 2018,lseu,DONE!
mas74,1,1,2,-2,151,12,1000,1000,0,1,1,0,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,13,151,0,13,0,0,0,150,1,13,151,138,0,0,12,1706,0.869,1.5491E-06,1.5491E-06,10482.79528,,,11801.19,2,-2,151,0,12.583,0,151,12,92173,7681.083,6498,10152,11939,994.917,9,4325,0,0,,,391,32.583,0,39,0,0,0,0,0,0,,,0.318,0,579.457,0.682,0,518.543,1012,12,12,1,35,1,0,0,0,0,66,2,0,0,899,46,20142,12944,0,6142,0,56,0,0,0,0,0,12,0,0,0,0,10482.79528,12,10526.35577,1000,10539.61687,10539.61687,13.261101,13.261101,1,49,3.304056,4.309908,4.309908,65,4,10540.41692,10536.02617,10536.46917,10538.52374,0.002,0.034,0.015,0.017,0.276,0.077,0,0.034,0.006,0,0.276,0.019,0,0.01,0,105.14,279.57,0,1558.79,0,1173.95,28.09,0,0,106.12,0.47,0,82.72,0,984.47,1587.17,Mon Oct 29 16:56:02 2018,mas74,DONE!
mas76,1,1,0,-2,151,11,1000,1000,0,0,0,0,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,12,151,0,12,0,0,0,150,1,12,151,139,0,0,11,1640,0.905,8.513E-07,8.513E-07,38893.90364,,,40005.05,0,-2,151,0,13.727,0,151,11,74289,6753.545,4006,8609,9901,900.091,160,2469,0,0,,,10,0.909,0,3,0,0,0,0,0,0,,,0.221,0,431.017,0.248,0,221.335,1011,11,11,2,0,0,0,0,0,0,0,0,0,0,1000,29,17550,10642,0,5853,0,52,0,0,0,3,0,11,0,0,0,0,38893.90364,11,38920.20713,1000,38921.62092,38921.62092,1.413796,1.413796,2,29,2.367239,2.494476,2.494476,27,2,38924.54505,38920.20713,38920.20853,38921.5178,0.003,0.027,0.013,0.016,0.163,0.066,0,0.027,0.006,0,0.168,0.014,0,0.01,0,81.38,213.97,0,1729.99,0,1434.52,28.19,0,0,0,0.34,0,0,0,1434.04,1758.32,Fri Oct 26 15:19:41 2018,mas76,DONE!
mas284,1,1,1,0,151,20,1000,1000,0,0,0,0,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,68,151,0,68,0,0,0,150,1,68,151,130,0,0,20,9631,0.938,4.799E-07,4.799E-07,86195.86303,,,91405.7237,1,0,151,0,7.15,0,151,20,34522,1726.1,151,3219,354,17.7,0,181,0,0,,,9,0.45,0,2,0,0,0,0,0,0,,,0.308,0,949.785,0.196,0,154.3,1020,20,20,1,0,0,0,0,0,0,0,0,0,0,1000,29,34357,14787,0,18542,0,27,0,0,0,1,0,20,0,0,0,0,86195.86303,20,86215.8992,1000,86222.50124,86222.50124,6.602035,6.602035,1,29,0.384582,0.511304,0.511304,41,2,86244.65664,86221.72494,86221.72494,86222.50124,0.001,0.008,0.004,0.019,0.596,0.166,0,0.009,0.003,0,0.596,0.018,0.02,0.05,0,22.37,52.51,0,691.83,0,616.79,31.81,0,0,0,0.12,0,0,0,616.61,723.94,Sat Oct 27 05:47:47 2018,mas284,DONE!
misc05,1,1,0,-4,136,11,1000,1000,0,0,1,0,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,300,136,29,271,0,0,0,74,62,300,136,59,119,34,11,2945,0.072,0,0.00012766,2930.9,,,2984.5,0,-4,136,59.636,3,0,136,11,12939,1176.273,559,2713,180,16.364,2,48,0,0,,,1846,167.818,112,288,44,4,4,4,0,0,,,0.098,0,2.408,0.067,0,2.466,655,11,11,3,95,3,0,0,0,0,0,0,0,0,549,11,20162,6785,0,12732,0,1,0,0,0,0,0,0,0,0,0,0,2930.9,11,2932.831551,644,2932.839918,2932.839918,0.008367,0.008367,3,14,3.60364,3.61925,3.61925,32,2,2934.516582,2932.831551,2932.831551,2932.831551,0.033,0.955,0.451,0.422,0.999,0.771,0.005,0.998,0.462,0,1,0.377,0.02,0.02,0,32.55,12.21,0,173.21,0,128.39,7.15,0.01,0,10.48,0.1,0,0,0,117.78,180.58,Mon Oct 22 06:46:36 2018,misc05,DONE!
mod008,1,1,0,-2,0,0,1000,1000,0,1,0,0,0,1,0.000000e+00,1.000000e-07,1.000000e-07,3.600000e+03,6,319,0,6,0,0,0,319,0,6,319,313,1,0,5,1243,0.649,0.0000896764,0.0000896764,290.93107271496876364836,290.93772723016485315384,291.16923557571362835006,307.00000000000000000000,0,-2,319,23.000,27.000,0.000,319,5,182255,36451.000,5984,46281,8353,1670.600,321,4040,370.840,34.121,0.000,14.200,944,188.800,8,397,0,0.000,0,0,0.000,0.000,0.000,0.000,0.069,0.000,461.695,0.589,0.000,623.761,870,5,5,0,0,0,0,0,0,0,10,0,0,0,855,2,11264,8293,0,2037,0,65,0,0,0,4,0,0,0,0,0,0,290.93107271496876364836,5,291.14073398334875264482,865,291.15201529847621486624,291.15201529847621486624,0.011281,0.011281,0,2,1.304762,1.374968,1.374968,13,2,291.417595,291.140734,291.140734,291.149707,0.017,0.237,0.107,0.105,0.476,0.308,0.000,0.244,0.052,0.000,0.484,0.043,0.000,0.000,0.000,61.700,1111.610,0.000,5832.320,0.000,4657.460,20.280,0.000,0.000,0.000,0.590,0.000,102.770,0.000,4553.910,5852.670,Wed Nov 28 10:17:49 2018,mod008,DONE!
mod013,1,1,1,1,96,5,1000,0,0,0,1,0,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,62,96,14,48,0,0,0,48,48,62,96,36,46,0,5,192,0.032,0.028571429,0.028571429,256.0166667,,,280.95,1,1,96,65.6,6,0,96,5,1087,217.4,63,409,186,37.2,27,43,0,0,,,523,104.6,88,129,0,0,0,0,0,0,,,0.62,0,2.413,1.248,0,6.607,62,5,5,2,57,12,0,0,0,0,0,0,0,0,0,0,955,321,0,577,0,0,0,0,0,0,0,0,0,0,0,0,256.0166667,5,257.1166667,57,257.853869,257.853869,0.737202,0.737202,2,12,4.411765,7.368459,7.368459,12,2,260.72619,257.116667,257.116667,257.853869,0.89,1,0.976,0.959,1,0.993,0.061,1,0.737,0,1,0.794,0,0,0,0.18,0.39,0,1.18,0,0.59,0.02,0,0,0.57,0.02,0,0,0,0,1.21,Thu Oct 18 20:36:56 2018,mod013,DONE!
modglob,1,1,0,-4,422,29,1000,0,0,1,1,0,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,291,422,95,196,0,2,0,98,324,291,422,291,169,0,29,968,0.008,1.6093E-06,1.6093E-06,20430947.62,,,20740508,0,-4,422,292.655,2.862,5,422,29,13382,461.448,9,2282,794,27.379,5,226,0,0,,,14212,490.069,341,964,310,10.69,8,16,0,0,,,10.584,0,224.443,48.489,0,675.693,350,29,29,14,63,6,0,0,0,0,258,65,0,0,0,0,58029,2412,0,55070,0,0,0,0,0,226,0,0,0,0,0,0,20430947.62,29,20460632.83,321,20474361.05,20474361.05,13728.21792,13728.21792,14,71,9.589474,14.024221,14.024221,67,2,20533319.46,20473194.03,20473607.34,20474361.05,0,1,0.93,0,1,0.983,0,1,0.949,0,1,0.882,0.03,0.04,0.01,124.19,18.53,0,211.56,0,68.6,2.39,0.01,0,11.62,0.14,0,56.74,0.01,0,214.25,Sat Oct 20 18:04:50 2018,modglob,DONE!
p0033,1,1,1,4,33,6,1000,1000,0,0,0,0,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,16,33,0,16,0,0,0,33,0,16,33,23,5,13,6,98,0.186,0.0025,0.0025,2520.571739,,,3089,1,4,33,25.667,1.667,0,33,6,233,38.833,3,134,74,12.333,2,34,0,0,,,173,28.833,22,32,0,0,0,0,0,0,,,0.069,0,0.408,0.132,0,0.634,37,6,6,4,0,0,0,0,0,0,0,0,0,0,31,7,648,329,0,288,0,0,0,0,0,0,0,0,0,0,0,0,2520.571739,6,2530.991887,31,2547.47691,2550.045406,16.485022,19.053518,4,7,1.833151,4.733257,5.185116,18,2,2562.051898,2535.288649,2535.288649,2550.045406,0.268,1,0.907,0.729,1,0.939,0.001,1,0.768,0,1,0.66,0,0.01,0,0.1,0.04,0,0.33,0,0.19,0.01,0,0,0,0.02,0,0,0,0.14,0.37,Sat Oct 20 11:20:14 2018,p0033,DONE!
